"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,14.07.2020,10:15:00,375.976,377,375.51,376.15,191265
AAPL,NASDAQ,14.07.2020,18:04:00,390.88,391,390.85,391,1881
AAPL,NASDAQ,15.07.2020,12:05:00,386.525,386.65,385.96,386.4,93424
AAPL,NASDAQ,15.07.2020,08:01:00,396.49,397.9,393.024,393.61,75340
AAPL,NASDAQ,16.07.2020,11:46:00,383.814,384.19,383.62,384.176,55060
AAPL,NASDAQ,16.07.2020,09:42:00,389.27,389.62,389.03,389.08,120048
AAPL,NASDAQ,17.07.2020,10:33:00,383.62,384,383.36,383.51,58457
AAPL,NASDAQ,17.07.2020,09:29:00,388.6,388.99,388.14,388.14,20760
AAPL,NASDAQ,20.07.2020,09:38:00,384.735,385.22,384.25,385.13,65559
AAPL,NASDAQ,20.07.2020,15:51:00,393.21,394,393.05,393.44,152360
AAPL,NASDAQ,21.07.2020,15:57:00,387.98,388.23,386.97,387.75,129714
AAPL,NASDAQ,21.07.2020,09:29:00,396.44,397.19,396.44,396.95,25370
AAPL,NASDAQ,22.07.2020,14:00:00,386.78,386.78,386.41,386.62,37423
AAPL,NASDAQ,22.07.2020,10:07:00,391.69,391.9,391.517,391.517,61329
AAPL,NASDAQ,23.07.2020,15:12:00,369.01,369.22,368.039,368.16,194876
AAPL,NASDAQ,23.07.2020,08:01:00,389.51,391.581,389.33,389.62,19670
AAPL,NASDAQ,24.07.2020,09:41:00,360.51,361.38,356.58,358.35,1030442
AAPL,NASDAQ,24.07.2020,15:14:00,371.53,371.88,371.4,371.43,85789
AAPL,NASDAQ,27.07.2020,08:01:00,373.507,375.3,373.5,375.11,35054
AAPL,NASDAQ,27.07.2020,18:04:00,380.5,380.5,380.49,380.49,723
AAPL,NASDAQ,28.07.2020,16:00:00,373.47,373.9,372.99,373.04,403933
AAPL,NASDAQ,28.07.2020,08:01:00,379.739,379.95,377.371,377.75,22713
AAPL,NASDAQ,29.07.2020,09:18:00,375.66,375.66,373.01,373.01,176671
AAPL,NASDAQ,29.07.2020,16:14:00,382,382.32,381.7,381.99,15071
AAPL,NASDAQ,30.07.2020,09:01:00,375.53,375.575,374.91,375,12273
AAPL,NASDAQ,30.07.2020,17:43:00,408.45,408.95,408.31,408.84,16063
AAPL,NASDAQ,31.07.2020,09:38:00,404.65,404.9,403.3,404.43,593160
AAPL,NASDAQ,31.07.2020,17:22:00,427.94,427.94,427.57,427.64,4421
AAPL,NASDAQ,03.08.2020,08:01:00,431.28,433.18,429.5,431.32,123149
AAPL,NASDAQ,03.08.2020,10:03:00,446.13,446.546,445.37,446.467,405345
AAPL,NASDAQ,04.08.2020,09:40:00,433.93,434.94,433.55,434.81,220698
AAPL,NASDAQ,04.08.2020,10:29:00,442.4,443.16,442.2,443.064,330017
AAPL,NASDAQ,05.08.2020,09:36:00,435.74,437.64,435.59,437.29,195441
AAPL,NASDAQ,05.08.2020,09:55:00,441.061,441.57,441.039,441.24,156001
AAPL,NASDAQ,06.08.2020,08:10:00,438.61,438.65,438.5,438.5,10239
AAPL,NASDAQ,06.08.2020,15:23:00,457.412,457.65,457.3,457.39,209775
AAPL,NASDAQ,07.08.2020,14:26:00,441.52,441.7,441.17,441.573,132280
AAPL,NASDAQ,07.08.2020,08:35:00,455,455.11,454.75,454.75,52659
AAPL,NASDAQ,10.08.2020,11:01:00,441.316,441.46,440,440.795,419274
AAPL,NASDAQ,10.08.2020,09:47:00,454.62,455.1,454.37,454.4,268304
AAPL,NASDAQ,11.08.2020,15:54:00,437.13,437.2,436.427,436.78,196169
AAPL,NASDAQ,11.08.2020,08:01:00,451.64,453.1,449.03,449.68,61953
AAPL,NASDAQ,12.08.2020,08:01:00,441.842,443.3,438.59,442.55,33549
